# ----------------------------------------
# 1 Master View
# Обзор аудитории
# 20190427-20190503
# ----------------------------------------

Индекс часа,Диапазон дат,Сегмент,Просмотры страниц
000055,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,6
000055,27.04.2019 - 03.05.2019,Новые пользователи,302
000056,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,76
000056,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,6
000056,27.04.2019 - 03.05.2019,Новые пользователи,312
000057,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,105
000057,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,11
000057,27.04.2019 - 03.05.2019,Новые пользователи,434
000058,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,91
000058,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,9
000058,27.04.2019 - 03.05.2019,Новые пользователи,423
000059,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,78
000059,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,2
000059,27.04.2019 - 03.05.2019,Новые пользователи,523
000060,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,121
000060,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,1
000060,27.04.2019 - 03.05.2019,Новые пользователи,375
000061,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,30
000061,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,33
000061,27.04.2019 - 03.05.2019,Новые пользователи,343
000062,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,63
000062,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,2
000062,27.04.2019 - 03.05.2019,Новые пользователи,441
000063,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,59
000063,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,10
000063,27.04.2019 - 03.05.2019,Новые пользователи,235
000064,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,102
000064,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,12
000064,27.04.2019 - 03.05.2019,Новые пользователи,362
000065,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,128
000065,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,1
000065,27.04.2019 - 03.05.2019,Новые пользователи,392
000066,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,87
000066,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,4
000066,27.04.2019 - 03.05.2019,Новые пользователи,248
000067,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,161
000067,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,5
